data_element,group,status,format_length,national_codes,link
HASENCLEVER INDEX SCORE,Haematological,R,n1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/h/hasenclever_index_score_de.asp?shownav=0
EXTRAMEDULLARY DISEASE SITE,Haematological,R,an1,See EXTRAMEDULLARY DISEASE SITE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ex/extramedullary_disease_site_de.asp?shownav=0
ANN ARBOR STAGE,Haematological,R,an1,See ANN ARBOR STAGE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/an/ann_arbor_stage_de.asp?shownav=0
ANN ARBOR STAGE DATE,Haematological,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/an/ann_arbor_stage_date_de.asp?shownav=0
ANN ARBOR SYMPTOMS INDICATION CODE,Haematological,R,an1,See ANN ARBOR SYMPTOMS INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/an/ann_arbor_symptoms_indication_code_de.asp?shownav=0
ANN ARBOR EXTRANODALITY INDICATION CODE,Haematological,R,an1,See ANN ARBOR EXTRANODALITY INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/an/ann_arbor_extranodality_indication_code_de.asp?shownav=0
ANN ARBOR BULKY DISEASE INDICATION CODE,Haematological,R,an1,See ANN ARBOR BULKY DISEASE INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/an/ann_arbor_bulky_disease_indication_code_de.asp?shownav=0
ANN ARBOR SPLENIC INDICATION CODE,Haematological,R,an1,See ANN ARBOR SPLENIC INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/an/ann_arbor_splenic_indication_code_de.asp?shownav=0
BINET STAGE,Haematological,R,an1,See BINET STAGE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/be/binet_stage_de.asp?shownav=0
BINET STAGE DATE,Haematological,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/be/binet_stage_date_de.asp?shownav=0
MYELOMA INTERNATIONAL STAGING SYSTEM STAGE,Haematological,R,an1,See MYELOMA INTERNATIONAL STAGING SYSTEM STAGE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/myeloma_international_staging_system_stage_de.asp?shownav=0
MYELOMA INTERNATIONAL STAGING SYSTEM STAGE DATE,Haematological,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/myeloma_international_staging_system_stage_date_de.asp?shownav=0
MURPHY ST JUDE STAGE,Haematological,R,an1,See MURPHY ST JUDE STAGE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/murphy_st_jude_stage_de.asp?shownav=0
MURPHY ST JUDE STAGE DATE,Haematological,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/murphy_st_jude_stage_date_de.asp?shownav=0
PRIMARY INDUCTION CHEMOTHERAPY FAILURE INDICATOR,Haematological,R,an1,See PRIMARY INDUCTION CHEMOTHERAPY FAILURE INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pri/primary_induction_chemotherapy_failure_indicator_de.asp?shownav=0
PLATELETS COUNT,Haematological,R,max n4,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pl/platelets_count_de.asp?shownav=0
WHITE BLOOD CELL COUNT (HIGHEST PRETREATMENT),Haematological,R,See WHITE BLOOD CELL COUNT,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/w/we/white_blood_cell_count_(highest_pretreatment)_de.asp?shownav=0
HAEMOGLOBIN CONCENTRATION (GRAMS PER LITRE),Haematological,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/h/haemoglobin_concentration_(grams_per_litre)_de.asp?shownav=0
KARYOTYPE TEST OUTCOME,Haematological,R,an1,See KARYOTYPE TEST OUTCOME,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/k/karyotype_test_outcome_de.asp?shownav=0
BONE MARROW BLAST CELLS PERCENTAGE,Haematological,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/bo/bone_marrow_blast_cells_percentage_de.asp?shownav=0
NEUTROPHIL COUNT,Haematological,R,max n3.n1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/ne/neutrophil_count_de.asp?shownav=0
ALBUMIN LEVEL,Haematological,R,n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ag/albumin_level_de.asp?shownav=0
BETA2 MICROGLOBULIN LEVEL,Haematological,R,max n3.n1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/be/beta2_microglobulin_level_de.asp?shownav=0
BLOOD LYMPHOCYTE COUNT,Haematological,R,max n3.n1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/bl/blood_lymphocyte_count_de.asp?shownav=0
LACTATE DEHYDROGENASE LEVEL,Haematological,R,an1,See LACTATE DEHYDROGENASE LEVEL,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/lactate_dehydrogenase_level_de.asp?shownav=0
BLOOD MYELOBLASTS PERCENTAGE,Haematological,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/bl/blood_myeloblasts_percentage_de.asp?shownav=0
BLOOD BASOPHILS PERCENTAGE,Haematological,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/bl/blood_basophils_percentage_de.asp?shownav=0
BLOOD EOSINOPHILS PERCENTAGE,Haematological,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/bl/blood_eosinophils_percentage_de.asp?shownav=0
CYTOGENETIC RISK CODE (ACUTE MYELOID LEUKAEMIA),Haematological,R,an1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cy/cytogenetic_risk_code_(acute_myeloid_leukaemia)_de.asp?shownav=0
CYTOGENETIC FINDINGS COMMENT,Haematological,R,max an50,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cy/cytogenetic_findings_comment_de.asp?shownav=0
CELLULARITY PERCENTAGE,Haematological,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/ce/cellularity_percentage_de.asp?shownav=0
DIEPOXYBUTANE TEST RESULT,Haematological,R,an1,See DIEPOXYBUTANE TEST RESULT,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/dial/diepoxybutane_test_result_de.asp?shownav=0
DYSPLASTIC HAEMOPOIESIS TYPE,Haematological,R,an1,See DYSPLASTIC HAEMOPOIESIS TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/dr/dysplastic_haemopoiesis_type_de.asp?shownav=0
D29 BONE MARROW TEST RESULT,Haematological,R,an2,See D29 BONE MARROW TEST RESULT,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/d29_bone_marrow_test_result_de.asp?shownav=0
D29 MINIMAL RESIDUAL DISEASE RESULT,Haematological,R,n1.max n4,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/d29_minimal_residual_disease_result_de.asp?shownav=0
D29 STATUS OF EXTRAMEDULLARY DISEASE,Haematological,R,an1,See D29 STATUS OF EXTRAMEDULLARY DISEASE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/d29_status_of_extramedullary_disease_de.asp?shownav=0
ALK-1 STATUS,Haematological,R,an1,See ALK-1 STATUS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ag/alk-1_status_de.asp?shownav=0
CANCER DENTAL ASSESSMENT DATE,Head and Neck,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_dental_assessment_date_de.asp?shownav=0
CARE CONTACT DATE (DIETITIAN INITIAL),Head and Neck,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/care/care_contact_date_(dietitian_initial)_de.asp?shownav=0
CARE CONTACT DATE (SPEECH AND LANGUAGE THERAPIST INITIAL),Head and Neck,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/care/care_contact_date_(speech_and_language_therapist_initial)_de.asp?shownav=0
CLINICAL STATUS ASSESSMENT DATE (CANCER),Head and Neck,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cl/clinical_status_assessment_date_(cancer)_de.asp?shownav=0
PRIMARY TUMOUR STATUS,Head and Neck,R,an1,See PRIMARY TUMOUR STATUS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pri/primary_tumour_status_de.asp?shownav=0
NODAL STATUS,Head and Neck,R,an1,See NODAL STATUS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/no/nodal_status_de.asp?shownav=0
METASTATIC STATUS,Head and Neck,R,an1,See METASTATIC STATUS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/men/metastatic_status_de.asp?shownav=0
SPEECH AND LANGUAGE ASSESSMENT DATE,Head and Neck,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/so/speech_and_language_assessment_date_de.asp?shownav=0
LIVER CANCER SURVEILLANCE SCAN INDICATOR,Liver,R,an1,See LIVER CANCER SURVEILLANCE SCAN INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/li/liver_cancer_surveillance_scan_indicator_de.asp?shownav=0
LIVER CIRRHOSIS TYPE,Liver,R,an1,See LIVER CIRRHOSIS TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/li/liver_cirrhosis_type_de.asp?shownav=0
LIVER CIRRHOSIS CAUSE TYPE,Liver,R,an1,See LIVER CIRRHOSIS CAUSE TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/li/liver_cirrhosis_cause_type_de.asp?shownav=0
PATIENT DIAGNOSIS INDICATOR (DIABETES),Liver,R,an1,See PATIENT DIAGNOSIS INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pat/patient_diagnosis_indicator_(diabetes)_de.asp?shownav=0
BARCELONA CLINIC LIVER CANCER STAGE,Liver,R,an1,See BARCELONA CLINIC LIVER CANCER STAGE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/barcelona_clinic_liver_cancer_stage_de.asp?shownav=0
BARCELONA CLINIC LIVER CANCER STAGE DATE,Liver,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/barcelona_clinic_liver_cancer_stage_date_de.asp?shownav=0
PORTAL VEIN INVASION INDICATION CODE,Liver,R,an1,See PORTAL VEIN INVASION INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/po/portal_vein_invasion_indication_code_de.asp?shownav=0
UNITED KINGDOM MODEL FOR END-STAGE LIVER DISEASE SCORE,Liver,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/u/un/united_kingdom_model_for_end-stage_liver_disease_score_de.asp?shownav=0
LIVER TRANSPLANT WAITING LIST INDICATOR,Liver,R,an1,See LIVER TRANSPLANT WAITING LIST INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/li/liver_transplant_waiting_list_indicator_de.asp?shownav=0
LIVER SURGERY PERFORMED TYPE,Liver,R,an1,See LIVER SURGERY PERFORMED TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/li/liver_surgery_performed_type_de.asp?shownav=0
ABLATIVE THERAPY TYPE,Liver,R,an1,See ABLATIVE THERAPY TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ablative_therapy_type_de.asp?shownav=0
LIVER TRANSARTERIAL EMBOLISATION OF HEPATOCELLULAR CARCINOMA INDICATOR,Liver,R,an1,See LIVER TRANSARTERIAL EMBOLISATION OF HEPATOCELLULAR CARCINOMA INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/li/liver_transarterial_embolisation_of_hepatocellular_carcinoma_indicator_de.asp?shownav=0
LIVER TRANSARTERIAL EMBOLISATION MATERIAL INJECTION TYPE,Liver,R,an1,See LIVER TRANSARTERIAL EMBOLISATION MATERIAL INJECTION TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/li/liver_transarterial_embolisation_material_injection_type_de.asp?shownav=0
PROCEDURE DATE (TRANSTHORACIC ECHOCARDIOGRAM TEST),Lung,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/proc/procedure_date_(transthoracic_echocardiogram_test)_de.asp?shownav=0
TRANSTHORACIC ECHOCARDIOGRAM TEST RESULT,Lung,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tr/transthoracic_echocardiogram_test_result_de.asp?shownav=0
PROCEDURE DATE (DIFFUSION CAPACITY TEST),Lung,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/proc/procedure_date_(diffusion_capacity_test)_de.asp?shownav=0
DIFFUSION CAPACITY TEST RESULT,Lung,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/dial/diffusion_capacity_test_result_de.asp?shownav=0
FORCED EXPIRATORY VOLUME IN 1 SECOND (PERCENTAGE),Lung,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/f/fo/forced_expiratory_volume_in_1_second_(percentage)_de.asp?shownav=0
FORCED EXPIRATORY VOLUME IN 1 SECOND (ABSOLUTE AMOUNT),Lung,R,n1.n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/f/fo/forced_expiratory_volume_in_1_second_(absolute_amount)_de.asp?shownav=0
MEDIASTINAL SAMPLING INDICATOR,Lung,R,an1,See PATIENT PROCEDURE PERFORMED INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/me/mediastinal_sampling_indicator_de.asp?shownav=0
PROCEDURE DATE (BRONCHOSCOPY),Lung,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/proc/procedure_date_(bronchoscopy)_de.asp?shownav=0
BRONCHOSCOPY PERFORMED INDICATOR,Lung,R,an1,See PATIENT PROCEDURE PERFORMED INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/br/bronchoscopy_performed_indicator_de.asp?shownav=0
PROCEDURE DATE (CARDIOPULMONARY EXERCISE TEST),Lung,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/proc/procedure_date_(cardiopulmonary_exercise_test)_de.asp?shownav=0
CARDIOPULMONARY EXERCISE TEST TYPE,Lung,R,an1,See CARDIOPULMONARY EXERCISE TEST TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cardiopulmonary_exercise_test_type_de.asp?shownav=0
CARDIOPULMONARY EXERCISE TEST RESULT,Lung,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cardiopulmonary_exercise_test_result_de.asp?shownav=0
REGIONAL ANAESTHETIC TECHNIQUE (CANCER),Lung,R,an1,See REGIONAL ANAESTHETIC TECHNIQUE FOR CANCER,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/r/reg/regional_anaesthetic_technique_(cancer)_de.asp?shownav=0
EPIDERMAL GROWTH FACTOR RECEPTOR MUTATIONAL STATUS,Lung,R,an1,See EPIDERMAL GROWTH FACTOR RECEPTOR MUTATIONAL STATUS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ep/epidermal_growth_factor_receptor_mutational_status_de.asp?shownav=0
SARCOMA TUMOUR SITE (BONE),Sarcoma,R,See OPCS-4 CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sarcoma_tumour_site_(bone)_de.asp?shownav=0
SARCOMA TUMOUR SUBSITE (BONE),Sarcoma,R,an2,See SARCOMA TUMOUR SUBSITE FOR BONE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sarcoma_tumour_subsite_(bone)_de.asp?shownav=0
SARCOMA TUMOUR SITE (SOFT TISSUE),Sarcoma,R,See OPCS-4 CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sarcoma_tumour_site_(soft_tissue)_de.asp?shownav=0
SARCOMA TUMOUR SUBSITE (SOFT TISSUE),Sarcoma,R,an2,See SARCOMA TUMOUR SUBSITE FOR SOFT TISSUE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sarcoma_tumour_subsite_(soft_tissue)_de.asp?shownav=0
MULTIFOCAL OR SYNCHRONOUS TUMOUR INDICATOR,Sarcoma,R,an1,See MULTIFOCAL OR SYNCHRONOUS TUMOUR INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/multifocal_or_synchronous_tumour_indicator_de.asp?shownav=0
INTERGROUP RHABDOMYOSARCOMA STUDY POST SURGICAL GROUP,Sarcoma,R,an1,See INTERGROUP RHABDOMYOSARCOMA STUDY POST SURGICAL GROUP,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/i/in/intergroup_rhabdomyosarcoma_study_post_surgical_group_de.asp?shownav=0
INTERGROUP RHABDOMYOSARCOMA STUDY POST SURGICAL GROUP DATE,Sarcoma,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/i/in/intergroup_rhabdomyosarcoma_study_post_surgical_group_date_de.asp?shownav=0
RHABDOMYOSARCOMA SITE PROGNOSIS CODE,Sarcoma,R,an1,See RHABDOMYOSARCOMA SITE PROGNOSIS CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/r/rep/rhabdomyosarcoma_site_prognosis_code_de.asp?shownav=0
TUMOUR VOLUME AT DIAGNOSIS CODE,Sarcoma,R,an1,See TUMOUR VOLUME AT DIAGNOSIS CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_volume_at_diagnosis_code_de.asp?shownav=0
CYTOGENETIC PRESENCE TYPE (RHABDOMYOSARCOMA),Sarcoma,R,an1,See CYTOGENETIC PRESENCE TYPE FOR RHABDOMYOSARCOMA,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cy/cytogenetic_presence_type_(rhabdomyosarcoma)_de.asp?shownav=0
CYTOGENETIC ANALYSIS CODE,Sarcoma,R,an2,See CYTOGENETIC ANALYSIS CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cy/cytogenetic_analysis_code_de.asp?shownav=0
SENTINEL LYMPH NODE BIOPSY PERFORMED INDICATOR,Skin,R,an1,See PATIENT PROCEDURE PERFORMED INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/se/sentinel_lymph_node_biopsy_performed_indicator_de.asp?shownav=0
PROCEDURE DATE (SENTINEL LYMPH NODE BIOPSY),Skin,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/proc/procedure_date_(sentinel_lymph_node_biopsy)_de.asp?shownav=0
ORGANISATION IDENTIFIER (REPORTING LABORATORY),Skin,R,min an3 max an5,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_identifier_(reporting_laboratory)_de.asp?shownav=0
SENTINEL LYMPH NODE BIOPSY OUTCOME,Skin,R,an1,See SENTINEL LYMPH NODE BIOPSY OUTCOME,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/se/sentinel_lymph_node_biopsy_outcome_de.asp?shownav=0
AMERICAN JOINT COMMITTEE ON CANCER STAGE,Skin,R,max an4,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ag/american_joint_committee_on_cancer_stage_de.asp?shownav=0
AMERICAN JOINT COMMITTEE ON CANCER STAGE DATE,Skin,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ag/american_joint_committee_on_cancer_stage_date_de.asp?shownav=0
CARE PROFESSIONAL OPERATING SURGEON TYPE (CANCER),Skin,R,max an3,See CARE PROFESSIONAL OPERATING SURGEON TYPE FOR CANCER,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/care/care_professional_operating_surgeon_type_(cancer)_de.asp?shownav=0
MEMBER OF SPECIALIST MULTIDISCIPLINARY TEAM INDICATOR,Skin,R,an1,See MEMBER OF SPECIALIST MULTIDISCIPLINARY TEAM INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/me/member_of_specialist_multidisciplinary_team_indicator_de.asp?shownav=0
CLINICAL STAGE (PANCREATIC CANCER),Upper Gastrointestinal,R,an2,See CLINICAL STAGE FOR PANCREATIC CANCER,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cl/clinical_stage_(pancreatic_cancer)_de.asp?shownav=0
CLINICAL STAGE DATE (PANCREATIC CANCER),Upper Gastrointestinal,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cl/clinical_stage_date_(pancreatic_cancer)_de.asp?shownav=0
STAGING LAPAROSCOPY PERFORMED INDICATOR,Upper Gastrointestinal,R,an1,See PATIENT PROCEDURE PERFORMED INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/st/staging_laparoscopy_performed_indicator_de.asp?shownav=0
PALLIATIVE TREATMENT REASON CODE (UPPER GASTROINTESTINAL),Upper Gastrointestinal,R,an1,See PALLIATIVE TREATMENT REASON CODE FOR UPPER GASTROINTESTINAL,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/palliative_treatment_reason_code_(upper_gastrointestinal)_de.asp?shownav=0
SURGICAL COMPLICATION TYPE,Upper Gastrointestinal,R,an2,See SURGICAL COMPLICATION TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/su/surgical_complication_type_de.asp?shownav=0
POST OPERATIVE TUMOUR SITE (UPPER GASTROINTESTINAL),Upper Gastrointestinal,R,an2,See POST OPERATIVE TUMOUR SITE FOR UPPER GASTROINTESTINAL,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/po/post_operative_tumour_site_(upper_gastrointestinal)_de.asp?shownav=0
SURGICAL PALLIATION TYPE,Upper Gastrointestinal,R,an1,See SURGICAL PALLIATION TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/su/surgical_palliation_type_de.asp?shownav=0
ENDOSCOPIC PROCEDURE TYPE,Upper Gastrointestinal,R,an1,See ENDOSCOPIC PROCEDURE TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/en/endoscopic_procedure_type_de.asp?shownav=0
ENDOSCOPIC OR RADIOLOGICAL COMPLICATION TYPE,Upper Gastrointestinal,R,an2,See ENDOSCOPIC OR RADIOLOGICAL COMPLICATION TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/en/endoscopic_or_radiological_complication_type_de.asp?shownav=0
PRETREATMENT PROSTATE BIOPSY TECHNIQUE TYPE,Urological,R,an1,See PRETREATMENT PROSTATE BIOPSY TECHNIQUE TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pret/pretreatment_prostate_biopsy_technique_type_de.asp?shownav=0
ESTIMATED GLOMERULAR FILTRATION RATE,Urological,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ep/estimated_glomerular_filtration_rate_de.asp?shownav=0
HYDRONEPHROSIS CODE,Urological,R,an1,See HYDRONEPHROSIS CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/h/hu/hydronephrosis_code_de.asp?shownav=0
S CATEGORY CODE,Urological,R,an2,See S CATEGORY CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/s_category_code_de.asp?shownav=0
S CATEGORY (ALPHA FETOPROTEIN),Urological,R,See ALPHA FETOPROTEIN,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/s_category_(alpha_fetoprotein)_de.asp?shownav=0
S CATEGORY (HUMAN CHORIONIC GONADOTROPIN),Urological,R,See HUMAN CHORIONIC GONADOTROPIN,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/s_category_(human_chorionic_gonadotropin)_de.asp?shownav=0
S CATEGORY (LACTATE DEHYDROGENASE),Urological,R,max n6,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/s_category_(lactate_dehydrogenase)_de.asp?shownav=0
PROSTATE SPECIFIC ANTIGEN (DIAGNOSIS),Urological,R,max n5.n1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/prod/prostate_specific_antigen_(diagnosis)_de.asp?shownav=0
STAGE GROUPING (TESTICULAR CANCER),Urological,R,max an2,See STAGE GROUPING FOR TESTICULAR CANCER,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/st/stage_grouping_(testicular_cancer)_de.asp?shownav=0
STAGE GROUPING DATE (TESTICULAR CANCER),Urological,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/st/stage_grouping_date_(testicular_cancer)_de.asp?shownav=0
EXTENT OF METASTATIC SPREAD,Urological,R,an1,See EXTENT OF METASTATIC SPREAD,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ex/extent_of_metastatic_spread_de.asp?shownav=0
LUNG METASTASES SUB-STAGE GROUPING,Urological,R,an2,See LUNG METASTASES SUB-STAGE GROUPING,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/li/lung_metastases_sub-stage_grouping_de.asp?shownav=0
INTRAVESICAL CHEMOTHERAPY RECEIVED INDICATOR,Urological,R,an1,See INTRAVESICAL CHEMOTHERAPY RECEIVED INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/i/in/intravesical_chemotherapy_received_indicator_de.asp?shownav=0
INTRAVESICAL IMMUNOTHERAPY RECEIVED INDICATOR,Urological,R,an1,See INTRAVESICAL IMMUNOTHERAPY RECEIVED INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/i/in/intravesical_immunotherapy_received_indicator_de.asp?shownav=0
PROSTATE SPECIFIC ANTIGEN (PRETREATMENT),Urological,R,max n5.n1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/prod/prostate_specific_antigen_(pretreatment)_de.asp?shownav=0
PROSTATE NERVE SPARING SURGERY TYPE,Urological,R,an1,See PROSTATE NERVE SPARING SURGERY TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/prod/prostate_nerve_sparing_surgery_type_de.asp?shownav=0
RADICAL PROSTATECTOMY MARGIN STATUS,Urological,R,an1,See RADICAL PROSTATECTOMY MARGIN STATUS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/r/radical_prostatectomy_margin_status_de.asp?shownav=0
COSDS SUBMISSION IDENTIFIER,Pathology,M,an36,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cons/cosds_submission_identifier_de.asp?shownav=0
ORGANISATION IDENTIFIER (CODE OF SUBMITTING ORGANISATION),Pathology,M,min an3 max an6,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_identifier_(code_of_submitting_organisation)_de.asp?shownav=0
COSDS SUBMISSION RECORD COUNT,Pathology,M,min n1 max n7,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cons/cosds_submission_record_count_de.asp?shownav=0
REPORTING PERIOD START DATE,Pathology,M,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/r/rep/reporting_period_start_date_de.asp?shownav=0
REPORTING PERIOD END DATE,Pathology,M,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/r/rep/reporting_period_end_date_de.asp?shownav=0
DATE AND TIME DATA SET CREATED,Pathology,M,See DATE AND TIME ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/date_and_time_data_set_created_de.asp?shownav=0
COSDS UNIQUE IDENTIFIER,Pathology,M,an36,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cons/cosds_unique_identifier_de.asp?shownav=0
